code	inn	target	inn_stem	resolved_by	support	confidence	n_abstracts	dois	ncts	spellings	target_how	target_votes	venues
PLX8394	plixorafenib	BRAF-MUTANT	rafenib	inn(code)	cooc+ctgov	high	1	10.1158/1538-7445.am2024-5137	NCT05503797	PLX8394	targeting X	1/2	aacr-2024
POL6326	balixafortide		tide	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-492	NCT03786094;NCT04826016	POL6326		0/0	aacr-2023
PTG-300	rusfertide		tide	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.tps6592	NCT04767802;NCT06033586	PTG-300		0/0	asco-2024
QDX21	celecoxib	COX-2	ib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2024-5275		QDX21	X inhibitor	4/6	aacr-2024
QL1604	iparomlimab	PD-1	limab	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.3578	NCT06789796;NCT07091305	QL1604	anti-X	2/3	asco-2024
REGN1979	odronextamab	CD3	mab	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-ct129	NCT02651662;NCT05991388	REGN1979	X bispecific	9/11	aacr-2023
REGN2810	cemiplimab	PD-1	limab	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.e14539	NCT02383212;NCT02651662;NCT02760498;NCT03005782	REGN2810	X inhibitor+anti-X	19/26	asco-2024
REGN4018	ubamatamab	CD3	mab	inn(code)	ctgov+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.tps5624;10.1200/jco.2024.42.16_suppl.tps5632	NCT03564340;NCT04590326	REGN4018	X bispecific	2/4	asco-2023|asco-2024
REGN5458	linvoseltamab	CD3	mab	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.8006	NCT05730036;NCT06669247;NCT07428369	REGN5458	X bispecific	4/6	asco-2023
RP6530	tenalisib	SIK3	lisib	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.1064	NCT03471351;NCT03711578;NCT03711604;NCT03770000	RP6530	X inhibitor	2/2	asco-2023
SAR408701	tusamitamab ravtansine	CEACAM5	tansine	inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2023-ct213;10.1158/1538-7445.am2024-3740	NCT03324113;NCT04154956;NCT04394624;NCT04524689	SAR408701	anti-X	4/7	aacr-2023|aacr-2024
SDX-7320	evexomostat	METAP2	stat	inn(code)	cooc+ctgov+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.tps1129;10.1200/jco.2023.41.16_suppl.tps1131	NCT05455619	SDX-7320	X inhibitor	6/6	asco-2023
SG001	enlonstobart	PD-1	bart	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.5526	NCT06989671;NCT07251062	SG001	X inhibitor	3/3	asco-2024
SGI-110	guadecitabine		citabine	code(inn)	ctgov+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.11531;10.1200/jco.2024.42.16_suppl.11526	NCT01896856;NCT02348489;NCT02429466;NCT02907359	SGI-110		0/0	asco-2023|asco-2024
SHR-1210	camrelizumab	PD-1	zumab	code(inn)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.e16007	NCT02738489;NCT02742935;NCT03099382;NCT03427827	SHR-1210	X inhibitor+anti-X+targeting X	21/26	asco-2024
SKB264	sacituzumab tirumotecan	TROP2	tecan	inn(code)	ctgov+repeat+trial	high	2	10.1200/jco.2024.42.16_suppl.104;10.1200/jco.2024.42.16_suppl.8502	NCT06706219;NCT07054242;NCT07068542;NCT07109284	SKB264	X bispecific+X-directed+anti-X+targeting X	28/55	asco-2024
SMT112	ivonescimab	PD-1/VEGF	mab	inn(code)	ctgov+journal+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.9087;10.1200/jco.2024.42.16_suppl.8508	NCT05184712;NCT06491472;NCT06760520;NCT06913218	SMT112	X bispecific+anti-X	5/6	asco-2023|asco-2024
SNDX-275	entinostat	HDAC	nostat	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.e17620	NCT00750698;NCT02115594	SNDX-275	X inhibitor	7/7	asco-2023
SNDX-5613	revumenib		nib	code(inn)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2023-3457;10.1158/1538-7445.am2024-577	NCT05886049;NCT06222580;NCT06229912;NCT06313437	SNDX-5613		0/0	aacr-2023|aacr-2024
SNDX-6352	axatilimab	CSF-1R	limab	code(inn)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.e16217	NCT06959537;NCT07011810;NCT07015853;NCT07128381	SNDX-6352	X inhibitor	1/1	asco-2023
SPL9111	cabazitaxel		taxel	inn(code)	none	unsupported	1	10.1200/jco.2024.42.3_suppl.374		SPL9111		0/0	asco-2024
SPX6326	balixafortide		tide	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-492		SPX6326		0/0	aacr-2023
SRF388	casdozokitug		tug	inn(code)	ctgov	medium	1	10.1200/jco.2024.42.3_suppl.470	NCT04374877	SRF388		0/0	asco-2024
SRK-181	linavonkibart		bart	code(inn)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.2507		SRK-181		0/0	asco-2024
STRO-002	luveltamab tazevibulin		bulin	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.5508	NCT05870748;NCT06555263;NCT06679582	STRO-002		0/0	asco-2023
TAB004	tifcemalimab	BTLA	limab	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.8579	NCT06095583	TAB004	anti-X	1/1	asco-2023
TAK228	sapanisertib	MTOR	sertib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-419	NCT02159989;NCT02503722;NCT04267913;NCT06385496	TAK228	X inhibitor	3/6	aacr-2023
TAK-788	mobocertinib	EXON20INS	ertinib	code(inn)+inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2023-4488;10.1158/1538-7445.am2023-lb327	NCT02716116;NCT03811834	TAK-788|TAK788	X-directed	2/2	aacr-2023
TAK-981	subasumstat	SAE1/2	stat	inn(code)	ctgov+repeat	high	2	10.1158/1538-7445.am2024-7071;10.1158/1538-7445.am2024-ct061	NCT05976334	TAK-981	X inhibitor	3/6	aacr-2024
TAR-200	gemcitabine	PKC	citabine	code(inn)	cooc+ctgov+trial	high	1	10.1200/jco.2023.41.6_suppl.tps584	NCT02720367;NCT02722538;NCT03404791;NCT03518320	TAR-200	targeting X	2/8	asco-2023
TAS0953	vepafestinib		tinib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-4007		TAS0953		0/0	aacr-2023
TAS6417	zipalertinib		ertinib	inn(code)	ctgov+repeat+trial	high	3	10.1200/jco.2024.42.16_suppl.tps8670;10.1200/jco.2024.42.16_suppl.tps8671;10.1200/jco.2024.42.23_suppl.tps219	NCT05967689;NCT05973773;NCT07128199	TAS6417		0/0	asco-2024
TG02	zotiraciclib	CDK	ciclib	code(inn)+inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-3538;10.1200/jco.2023.41.16_suppl.2054;10.1200/jco.2024.42.16_suppl.2058	NCT02942264	TG02	X inhibitor	3/7	aacr-2023|asco-2023|asco-2024
TG4001	sovacivec	HPV	vec	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.2630		TG4001	targeting X	1/1	asco-2023
TIW-3	eribulin	STING	bulin	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.e17634		TIW-3	X inhibitor	4/19	asco-2023
TQB2450	benmelstobart	PD-L1	bart	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.5593	NCT06528847;NCT06699498	TQB2450	anti-X	3/3	asco-2024
