primary	aliases	query_terms	n_approvals	first_approval	last_approval	codes	code_sources	codes_validated	n_studies	fih_date	fih_nct	fih_phase	fih_in_title	fih_via	fih_sponsor	inn_only_fih_date	inn_only_nct	months_gained_by_code	fih_title_only_date	fih_no_platform_filter_date	fih_corpus_internal_date	confidence	external_only_codes
ensartinib	ensacove|ensartinib	ensacove|ensartinib	1	2024-12-18	2024-12-18				34	2012-06	NCT01625234	PHASE1;PHASE2	1	inn	Xcovery Holdings, Inc.	2012-06	NCT01625234	0	2012-06	2012-06	2012-06	high	
sotorasib	lumakras|sotorasib	lumakras|sotorasib	1	2025-01-16	2025-01-16	AMG-510|AMG510	AMG-510:conf+ctgov:strong|AMG510:conf+ctgov+ctloc:strong	AMG-510|AMG510	65	2018-08-27	NCT03600883	PHASE1;PHASE2	1	inn	Amgen	2018-08-27	NCT03600883	0	2018-08-27	2018-08-27	2018-08-27	high	
acalabrutinib	acalabrutinib|calquence	acalabrutinib|calquence	2	2025-01-16	2026-02-19	ACP-196|ACP196	ACP-196:ctgov:strong|ACP196:ctgov:strong	ACP-196|ACP196	153	2014-01-30	NCT02029443	PHASE1;PHASE2	1	inn	Acerta Pharma BV	2014-01-30	NCT02029443	0	2014-01-30	2014-01-30	2014-01-30	high	ACP-196|ACP196
datopotamab deruxtecan-dlnk	datopotamab deruxtecan|datroway	datopotamab deruxtecan|datroway	3	2025-01-17	2026-05-22	DS-1026A|DS-1062|DS-1062A|DS1062A	DS-1026A:ctgov:strong|DS-1062:ctgov:strong|DS-1062A:ctgov:strong|DS1062A:ctgov:strong	DS-1026A|DS-1062|DS-1062A|DS1062A	42	2018-01-31	NCT03401385	PHASE1	1	inn	Daiichi Sankyo Co., Ltd.	2018-01-31	NCT03401385	0	2018-01-31	2010-03-01	2018-01-31	high	DS-1026A|DS-1062|DS-1062A|DS1062A
treosulfan	grafapex|treosulfan	grafapex|treosulfan	1	2025-01-21	2025-01-21				43	2001-11	NCT01063647	PHASE1;PHASE2	1	inn	medac GmbH	2001-11	NCT01063647	0	2001-11	2001-11	2001-11	high	
capecitabine	capecitabine	capecitabine	2	2025-01-24	2026-02-05	BMS-247550|NSC-712807|RO0091978	BMS-247550:ctgov:strong|NSC-712807:ctgov:strong|RO0091978:ctgov:strong	BMS-247550|NSC-712807|RO0091978	388	1997-01	NCT01225523	PHASE1	0	inn	Xi'an Jiaotong University	1997-01	NCT01225523	0	1998-07	1997-01	1997-01	medium	BMS-247550|NSC-712807|RO0091978
brentuximab vedotin	adcetris|brentuximab|brentuximab vedotin	adcetris|brentuximab	1	2025-02-11	2025-02-11	MGCD0103|SGN-35|SGN35	MGCD0103:ctgov:strong|SGN-35:ctgov:strong|SGN35:ctgov:strong	MGCD0103|SGN-35|SGN35	193	2004-04	NCT00323934	PHASE1	1	code	Mirati Therapeutics Inc.	2006-11	NCT00430846	31	2004-04	2004-04	2006-11	high	MGCD0103|SGN-35|SGN35
mirdametinib	gomekli|mirdametinib	gomekli|mirdametinib	1	2025-02-11	2025-02-11				19	2019-05-01	NCT03905148	PHASE1	1	inn	BeiGene	2019-05-01	NCT03905148	0	2019-05-01	2019-05-01	2019-05-01	high	
vimseltinib	romvimza|vimseltinib	romvimza|vimseltinib	1	2025-02-14	2025-02-14	DCC-3014	DCC-3014:ctgov:strong	DCC-3014	8	2017-02-16	NCT03069469	PHASE1;PHASE2	1	inn	Deciphera Pharmaceuticals, LLC	2017-02-16	NCT03069469	0	2017-02-16	2017-02-16	2017-02-16	high	DCC-3014
cabozantinib	cabometyx|cabozantinib	cabometyx|cabozantinib	1	2025-03-26	2025-03-26	BMS-907351|BMS907351|EXEL-7184|XL-184|XL184|XL84	BMS-907351:ctgov:strong|BMS907351:ctgov:strong|EXEL-7184:ctgov:strong|XL-184:ctgov:strong|XL184:conf+ctgov:strong|XL84:ctgov:strong	BMS-907351|BMS907351|EXEL-7184|XL-184|XL184|XL84	253	2005-09	NCT00215605	PHASE1	1	code	Exelixis	2009-09	NCT00940225	48	2005-09	2005-09	2005-09	high	BMS-907351|BMS907351|EXEL-7184|XL-184|XL84
lutetium lu 177 vipivotide tetraxetan	lutetium lu 177 vipivotide tetraxetan|pluvicto|vipivotide tetraxetan	pluvicto|vipivotide tetraxetan	2	2025-03-28	2026-07-31	AAA-617|AAA617	AAA-617:ctgov:strong|AAA617:ctgov+ctloc:strong	AAA-617|AAA617	43	2021-06-09	NCT04720157	PHASE3	0	code	Novartis Pharmaceuticals	2022-07-08	NCT05113537	13	2023-08-14	2021-06-09	2021-06-09	low	AAA-617
penpulimab-kcqx	penpulimab	penpulimab	1	2025-04-23	2025-04-23	AK-105|AK105	AK-105:ctgov:strong|AK105:ctgov+ctloc:strong	AK-105|AK105	86	2018-01-02	NCT03352531	PHASE1	1	code	Akesobio Australia Pty Ltd	2019-05-01	NCT05809336	16	2018-01-02	2018-01-02	2018-01-02	high	AK-105
avutometinib	avmapki|avmapki fakzynja co|avutometinib|defactinib	avmapki|avutometinib|defactinib	1	2025-05-08	2025-05-08	AMG-510|CH-5126766|CH5126766|CKI-27|RG-7304|RG7304|RO5126766	AMG-510:ctgov:conflict|CH-5126766:ctgov:strong|CH5126766:ctgov:strong|CKI-27:ctgov:strong|RG-7304:ctgov:strong|RG7304:ctgov:strong|RO5126766:ctgov:strong	CH-5126766|CH5126766|CKI-27|RG-7304|RG7304|RO5126766	44	2008-11	NCT00773526	PHASE1	1	code	Hoffmann-La Roche	2013-02-26	NCT01778803	51	2008-11	2008-11	2013-02-26	high	CH-5126766|CH5126766|CKI-27|RG-7304|RG7304|RO5126766
telisotuzumab vedotin-tllv	emrelis|telisotuzumab|telisotuzumab vedotin	emrelis|telisotuzumab	1	2025-05-14	2025-05-14	ABBV-399|ABBV-400|ABT-399|ABT-700	ABBV-399:conf+ctgov+ctloc:strong|ABBV-400:ctgov:strong|ABT-399:ctgov:strong|ABT-700:conf:strong	ABBV-399|ABBV-400|ABT-399|ABT-700	27	2011-10-06	NCT01472016	PHASE1	1	code	AbbVie (prior sponsor, Abbott)	2014-01-15	NCT02099058	27	2011-10-06	2011-10-06	2011-10-06	high	ABBV-400|ABT-399
